Street Name,Street Type,Region,Street Dir,Street Post Dir,Address Low,Address High,Odd Even,Zip Code,Precinct,Town Precinct,Cong,Sen,Hse
10TH,ST,Z,,,6303,6625,B,22307,602,,8,30,45
11TH,ST,Z,,,6305,6424,B,22307,602,,8,30,45
12TH,ST,Z,,,6018,6018,E,22060,613,,8,30,42
12TH,ST,Z,S,,5306,5314,E,22204,514,,8,35,49
12TH,ST,Z,S,,5400,5402,E,22204,514,,8,35,49
13TH,ST,Z,,,6402,6428,B,22307,602,,8,30,45
14TH,ST,Z,,,6402,6431,B,22307,602,,8,30,45
14TH,ST,Z,S,,3600,3619,B,22302,514,,8,35,49
15TH,ST,Z,,,6400,6423,B,22307,602,,8,30,45
16TH,ST,Z,,,6401,6427,B,22307,602,,8,30,45
18TH,ST,Z,,,5900,5913,B,22060,613,,8,30,42
18TH CENTURY,CT,Z,,,6810,6817,B,22150,417,,8,39,39
19TH,ST,Z,,,5900,5912,E,22060,613,,8,30,42
1ST,AVE,Z,,,8249,8385,B,22182,733,,11,34,35
1ST,PL,Z,,,1635,1645,B,22101,305,,8,32,48
1ST,PL,Z,,,902,920,B,20170,319,12200,11,33,86
1ST,RD,Z,,,5120,5325,B,22030,804,,10,37,40
20TH,ST,Z,,,5901,5913,O,22060,613,,8,30,42
21ST,ST,Z,,,5500,5509,B,22060,613,,8,30,42
21ST,ST,Z,,,5820,5820,E,22060,613,,8,30,42
21ST,ST,Z,,,5875,5875,O,22060,613,,8,30,42
21ST,ST,Z,,,5900,5912,B,22060,613,,8,30,42
23RD,ST,Z,,,5650,5847,B,22060,613,,8,30,42
2ND,AVE,Z,,,8225,8329,B,22182,733,,11,34,35
2ND,RD,Z,,,5200,5316,B,22030,804,,10,37,40
2ND,ST,Z,,,850,852,B,20170,319,12200,11,33,86
32ND,ST,Z,,,6512,6633,B,22046,307,,8,32,48
33RD,ST,Z,,,6460,6523,B,22043,307,,8,32,48
33RD,ST,Z,,,6601,6601,O,22046,317,,8,32,53
38TH,ST,Z,,N,5145,5162,B,22207,305,,8,32,48
3RD,PL,Z,,,9500,9534,B,22079,628,,11,39,42
3RD,ST,Z,,,600,630,B,20170,319,12200,11,33,86
3RD,ST,Z,,,772,911,B,20170,319,12200,11,33,86
4TH,PL,Z,,,2300,2316,B,22027,733,,11,34,35
4TH,PL,Z,,,9401,9533,B,22079,628,,11,39,42
5TH,PL,Z,,,9512,9581,B,22079,628,,11,39,42
6TH,PL,Z,,,1540,1617,B,22101,305,,8,32,48
6TH,RD,Z,,,3210,3220,B,22041,505,,8,35,49
6TH,ST,Z,,,5565,5565,O,22060,613,,8,30,42
6TH,ST,Z,,,5881,5922,B,22041,505,,8,35,49
6TH,ST,Z,,,5924,5943,B,22041,505,,8,35,49
7TH,PL,Z,,,1601,1614,B,22101,305,,8,32,48
8TH,PL,Z,,,1607,1624,B,22101,305,,8,32,48
9TH,ST,Z,,,5900,6029,B,22060,613,,8,30,42
AARON,CT,Z,,,800,813,B,22066,328,,10,31,34
ABBEY,WAY,Z,,,1000,1005,B,22101,301,,10,31,34
ABBEY GLEN,CT,Z,,,1803,1812,B,22182,226,,11,32,34
ABBEY OAK,DR,Z,,,1674,1824,B,22182,226,,11,32,34
ABBOTSFORD,DR,Z,,,1800,1917,B,22182,226,,11,32,34
ABBOTSFORD,DR,Z,,,2200,2235,B,22181,202,,11,32,36
ABBOTSFORD,DR,Z,,,2239,2239,B,22181,202,,11,32,36
ABBOTT,LN,Z,,,601,613,O,22046,712,,8,35,53
ABBOTTSBURY,ROW,Z,,,6201,6251,B,22315,421,,8,39,43
ABERCORN,CT,Z,,,11852,11878,B,20191,223,,11,32,36
ABERCROMBY,CT,Z,,,1708,1714,B,20190,208,,11,32,36
ABERDEEN,CT,Z,,,8631,8638,B,22003,113,,11,34,39
